id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkzMjQ4NDM4MQ==,free-for-dev,86682,2015-03-18T21:06:26Z,2024-08-25T02:36:55Z,{'name': 'HTML'}
R_kgDOJ0Z1Pg,ollama,86453,2023-06-26T19:39:32Z,2024-08-25T03:29:48Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love,86318,2013-12-15T14:31:41Z,2024-08-25T03:34:49Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,thefuck,84256,2015-04-08T15:08:04Z,2024-08-25T02:07:17Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybook,83833,2016-03-18T04:23:44Z,2024-08-25T00:05:25Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv,83783,2018-11-14T22:00:57Z,2024-08-25T02:53:31Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk0ODM3ODk0Nw==,frp,83758,2015-12-21T15:24:59Z,2024-08-25T03:24:06Z,{'name': 'Go'}
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,Web-Dev-For-Beginners,82749,2020-11-10T02:44:00Z,2024-08-24T23:33:56Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==,Awesome-Hacking,81839,2016-03-30T15:47:10Z,2024-08-25T03:31:06Z,
MDEwOlJlcG9zaXRvcnkxMDEyOTY4ODE=,every-programmer-should-know,81636,2017-08-24T13:18:26Z,2024-08-25T03:41:54Z,
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch,81568,2016-08-13T05:26:41Z,2024-08-25T03:42:02Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMDYwMTczNDM=,tailwindcss,81427,2017-10-06T14:59:14Z,2024-08-25T03:14:07Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri,81170,2019-07-13T09:09:37Z,2024-08-25T03:29:43Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim,81104,2014-01-31T13:39:22Z,2024-08-25T03:12:26Z,{'name': 'Vim Script'}
MDEwOlJlcG9zaXRvcnkzMDcyNjAyMDU=,yt-dlp,80811,2020-10-26T04:22:55Z,2024-08-25T03:41:25Z,{'name': 'Python'}
